company,yearsAgree,confidence,yearFounded,yearFounded2,link1,link2
Upbit,1.0,2.0,2017.0,2017.0,https://en.wikipedia.org/wiki/Upbit,https://www.linkedin.com/company/upbit
Tux-Exchange,1.0,2.0,2016.0,2016.0,https://coinpedia.org/exchange/tuxexchange/,https://tuxexchange.com/about
Tradeogre,1.0,2.0,2018.0,2018.0,https://www.coingecko.com/en/exchanges/trade_ogre,https://www.coingecko.com/en/exchanges/trade_ogre
Trade-Satoshi,1.0,2.0,2015.0,2015.0,https://www.linkedin.com/company/tradesatoshi/,https://www.linkedin.com/company/tradesatoshi/
Tidebit,1.0,2.0,2017.0,2017.0,https://www.crunchbase.com/organization/tidebit,https://www.linkedin.com/company/tidebit/
Stex,1.0,2.0,2017.0,2017.0,https://foundico.com/exchange/stex.html,https://www.facebook.com/pg/stex.exchanger/about/?ref=page_internal
Stellarport,1.0,2.0,2018.0,2018.0,https://www.finder.com/stellarport-exchange-review,https://www.finder.com/stellarport-exchange-review
Radar-Relay,1.0,2.0,2017.0,2017.0,https://www.crunchbase.com/organization/radar-relay,https://www.crunchbase.com/organization/radar-relay#section-overview
Quadrigacx,1.0,2.0,2013.0,2013.0,https://coinmarketcap.com/historical/,https://www.bestbitcoinexchange.io/exchanges/quadrigacx-crypto-exchanges/
Poloniex,1.0,2.0,2014.0,2014.0,https://poloniex.com/media-kit,https://www.google.com/search?ei=8LArXKGlAaq1ggerkrWABg&q=poloniex+founding+date&oq=poloniex+founding+date&gs_l=psy-ab.3...35719.37388..37631...0.0..0.297.1611.0j2j5......0....1..gws-wiz.......0i71j0i7i30.I4i0XXJh700
Paymium,1.0,2.0,2011.0,2011.0,https://www.paymium.com/page/company/about,https://www.paymium.com/page/company/about
Paribu,1.0,2.0,2015.0,2015.0,https://www.linkedin.com/company/paribu/,https://www.linkedin.com/company/paribu/
Ovis,1.0,2.0,2018.0,2018.0,https://www.linkedin.com/company/ovi%CC%87s/,https://www.linkedin.com/company/ovi%CC%87s
Openledger,1.0,2.0,2014.0,2014.0,https://openledger.info/about-us/,https://openledger.info/about-us/
Okex,1.0,2.0,2014.0,2014.0,https://bitcoinmagazine.com/articles/okex-founder-released-after-questioning-connection-suspected-coin-fraud/,https://coinmarketcap.com/rankings/exchanges/
Okcoin,1.0,2.0,2013.0,2013.0,https://www.okcoin.com/pages/company/about.html,https://www.okcoin.com/pages/company/about.html
Nocks,1.0,2.0,2015.0,2015.0,https://www.linkedin.com/company/nocks/,https://www.linkedin.com/company/nocks/
Mercatox,1.0,2.0,2016.0,2016.0,https://medium.com/@LockChainCo/loc-token-listed-on-uk-based-exchange-mercatox-9590f6e46363,https://en.bitcoinwiki.org/wiki/Mercatox
Luno,1.0,2.0,2013.0,2013.0,https://www.linkedin.com/company/lunomoney/,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=6&ved=2ahUKEwjwivzyp83fAhWnhFQKHSTbAFAQFjAFegQIZhAB&url=https%3A%2F%2Fwww.crunchbase.com%2Forganization%2Flunomoney&usg=AOvVaw1Dy7vk0AjQ3MZCjHWRNbbw
Liqui,1.0,2.0,2016.0,2016.0,https://liqui.io/About,https://liqui.io/About
Lbank,1.0,2.0,2016.0,2016.0,https://lbankinfo.zendesk.com/hc/zh-cn,https://list.wiki/LBank
Lakebtc,1.0,2.0,2013.0,2013.0,https://www.lakebtc.com/s/about,https://www.lakebtc.com/s/about
Kyber-Network,1.0,2.0,2017.0,2017.0,https://www.crunchbase.com/organization/kyber-network#section-overview,https://www.crunchbase.com/organization/kyber-network#section-overview
Kucoin,1.0,2.0,2013.0,2013.0,https://www.crunchbase.com/organization/kucoin#section-overview,https://www.crunchbase.com/organization/kucoin#section-overview
Kryptono,1.0,2.0,2018.0,2018.0,https://www.coingecko.com/en/exchanges/kryptono,https://www.linkedin.com/company/kryptonoexchange/
Kraken,1.0,2.0,2011.0,2011.0,https://www.kraken.com/en-us/about,https://www.kraken.com/en-us/about
Koinex,1.0,2.0,2017.0,2017.0,https://inc42.com/startups/after-launching-loop-koinex-explores-other-blockchain-solutions/,https://www.forexbrokerz.com/brokers/koinex-review
Indodax,1.0,2.0,2013.0,2013.0,https://sg.news.yahoo.com/indonesian-cryptocurrency-startup-bitcoin-co-id-rebrands-now-035255235.html,https://sg.news.yahoo.com/indonesian-cryptocurrency-startup-bitcoin-co-id-rebrands-now-035255235.html
Independent-Reserve,1.0,2.0,2013.0,2013.0,https://www.independentreserve.com/about,https://www.linkedin.com/company/independent-reserve/
Idex,1.0,2.0,2017.0,2017.0,https://idex.market/static/IDEX-Whitepaper-V0.7.5.pdf,https://coincentral.com/alex-wearn-idex-ceo-on-aurora-advancements/
Idax,1.0,2.0,2017.0,2017.0,https://foundico.com/exchange/idax.html,https://foundico.com/exchange/idax.html
Huobi,1.0,2.0,2013.0,2013.0,https://en.wikipedia.org/wiki/Huobi,en.m.wikipedia.org
Hbus,1.0,2.0,2018.0,2018.0,https://www.crunchbase.com/organization/hbus#section-overview,https://www.crunchbase.com/organization/hbus#section-overview
Gemini,1.0,2.0,2015.0,2015.0,https://en.wikipedia.org/wiki/Gemini_(company),https://www.linkedin.com/company/geminitrust/
Gdac,1.0,2.0,2018.0,2018.0,https://www.coingecko.com/en/exchanges/gdac,https://medium.com/@hacken/the-korean-trade-volume-manipulations-by-coinbit-and-gdac-e0e68bbbea5d
Gatehub,1.0,2.0,2014.0,2014.0,https://gatehub.net/gateways,https://www.crunchbase.com/organization/gatehub
Gatecoin,1.0,2.0,2013.0,2013.0,https://gatecoin.com/about,https://gatecoin.com/about
Gate-Io,1.0,2.0,2017.0,2017.0,https://neironix.io/exchanges/gate_io,blockonomi.com
Freiexchange,1.0,2.0,2016.0,2016.0,https://www.coingecko.com/en/exchanges/freiexchange,https://freiexchange.com/pages/about
Forkdelta,1.0,2.0,2018.0,2018.0,https://forkdelta.app/about/,https://coinmarketcap.com/rankings/exchanges/2
Fcoin,1.0,2.0,2018.0,2018.0,https://hackernoon.com/the-death-of-fcoin-a-tale-of-bad-token-design-261d64a8116f,https://medium.com/@terry_extrade/what-is-fcoin-and-why-its-important-and-you-should-know-about-it-853d6900aeac
Exmo,1.0,2.0,2013.0,2013.0,https://exmo.com/en/about_us,https://exmo.com/en/about_us
Dragonex,1.0,2.0,2017.0,2017.0,https://www.linkedin.com/company/dragonex-network/,https://www.linkedin.com/company/dragonex-network/
Digifinex,1.0,2.0,2017.0,2017.0,https://www.linkedin.com/company/digifinex/,https://www.digifinex.com/recent
Dextop,1.0,2.0,2018.0,2018.0,https://support.dex.top/hc/en-us/articles/360014138933-Decentralized-Exchange-DEx-top-Acquired-By-Bibox,https://support.dex.top/hc/en-us/articles/360014138933-Decentralized-Exchange-DEx-top-Acquired-By-Bibox
Cryptopia,1.0,2.0,2014.0,2014.0,https://www.linkedin.com/company/cryptopia-limited/,https://www.linkedin.com/company/cryptopia-limited
Cryptomate,1.0,2.0,2014.0,2014.0,https://coinpedia.org/exchange/cryptomate/,https://coinpedia.org/exchange/cryptomate/
Cryptomarket,1.0,2.0,2016.0,2016.0,https://www.crunchbase.com/organization/cryptomkt,https://www.linkedin.com/company/cryptomkt/about/
Cryptobridge,1.0,2.0,2017.0,2017.0,https://www.crunchbase.com/organization/cryptobridge,https://en.m.bitcoinwiki.org/wiki/CryptoBridge
Cryptaldash,1.0,2.0,2017.0,2017.0,https://www.linkedin.com/company/cryptaldash/,https://www.linkedin.com/company/cryptaldash/
Crxzone,1.0,2.0,2014.0,2014.0,https://www.crxzone.com/company,https://www.crxzone.com/company
Crex24,1.0,2.0,2017.0,2017.0,https://www.coingecko.com/en/exchanges/crex24,https://bitcointalk.org/index.php?topic=2101721.0
Coinut,1.0,2.0,2013.0,2013.0,https://www.crunchbase.com/organization/coinut,https://en.bitcoin.it/wiki/Coinut
Coinsquare,1.0,2.0,2014.0,2014.0,https://news.coinsquare.com/digital-currency/coinsquare-founder-virgile-rostand-cryptocurrency/,https://www.linkedin.com/company/coinsquare/
Coinroom,1.0,2.0,2016.0,2016.0,https://coinroom.com/about,https://coinroom.com/about
Coinone,1.0,2.0,2014.0,2014.0,https://craft.co/coinone,https://www.linkedin.com/company/coinone-inc./
Coinnest,1.0,2.0,2017.0,2017.0,https://www.coingecko.com/en/exchanges/coinnest,https://twitter.com/coinnest_info?lang=en
Coinmate,1.0,2.0,2014.0,2014.0,https://cointelegraph.com/news/coinmate,https://www.linkedin.com/company/coinmate/
Coinex,1.0,2.0,2017.0,2017.0,https://www.coinex.com/aboutus?lang=en_US,https://www.coinex.com/aboutus
Coineal,1.0,2.0,2018.0,2018.0,https://www.linkedin.com/company/coineal/,https://www.linkedin.com/company/coineal
Coindeal,1.0,2.0,2018.0,2018.0,https://coindeal.com/about-us,https://coindeal.com/about-us
Coincheck,1.0,2.0,2012.0,2012.0,https://corporate.coincheck.com/,https://www.linkedin.com/company/coincheck/
Coinbit,1.0,2.0,2018.0,2018.0,http://crypto.marketswiki.com/index.php?title=Coinbit,http://crypto.marketswiki.com/index.php?title=Coinbit
Coinbase-Pro,1.0,2.0,2012.0,2012.0,https://en.wikipedia.org/wiki/Coinbase,https://www.coinbase.com/about
Cobinhood,1.0,2.0,2017.0,2017.0,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=537207720,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=537207720
Chaoex,1.0,2.0,2017.0,2017.0,https://globenewswire.com/news-release/2018/08/09/1549390/0/en/CHAOEX-First-Anniversary-New-Opportunity-Drives-Big-Progress.html,https://www.linkedin.com/company/chaoex/
Cex-Io,1.0,2.0,2013.0,2013.0,https://cex.io/about,https://www.linkedin.com/company/cex-io/
Buda,1.0,2.0,2015.0,2015.0,https://www.linkedin.com/company/budapuntocom/,https://es.wikipedia.org/wiki/Buda.com
Btcturk,1.0,2.0,2013.0,2013.0,https://blockchainbiome.com/btcturk/,https://www.btctrader.com/Content/BTCTrader_Summary.pdf
Btcc,1.0,2.0,2011.0,2011.0,https://en.wikipedia.org/wiki/BTCC_(company),https://www.linkedin.com/company/yourbtcc/
Btcbox,1.0,2.0,2014.0,2014.0,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=292552407,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=292552407
Btc-Trade-Ua,1.0,2.0,2014.0,2014.0,https://www.forexbrokerz.com/brokers/btc-trade-ua-review,
Btc-Alpha,1.0,2.0,2016.0,2016.0,https://beta.companieshouse.gov.uk/company/09951778,https://beta.companieshouse.gov.uk/company/09951778
Braziliex,1.0,2.0,2017.0,2017.0,https://www.coingecko.com/en/exchanges/braziliex,https://www.linkedin.com/company/braziliex/
Bleutrade,1.0,2.0,2014.0,2014.0,https://www.linkedin.com/company/bleutrade/,https://en.m.bitcoinwiki.org/wiki/Bleutrade
Bittylicious,1.0,2.0,2013.0,2013.0,https://en.bitcoin.it/wiki/Bittylicious,https://www.financemagnates.com/cryptocurrency/education-centre/bittylicious-bringing-bitcoins-to-the-uk/
Bitstamp-Ripple-Gateway,1.0,2.0,2011.0,2011.0,https://www.bitstamp.net/about_us/,https://www.linkedin.com/company/bitstamp/
Bitstamp,1.0,2.0,2011.0,2011.0,https://en.wikipedia.org/wiki/Bitstamp,https://www.linkedin.com/company/bitstamp/
Bitsane,1.0,2.0,2016.0,2016.0,https://www.linkedin.com/company/bitsanecom/,https://bitsane.com/
Bitrue,1.0,2.0,2018.0,2018.0,https://cryptocoinspy.com/bitrue-exchange-launches-with-ripple-xrp-as-base-currency/,https://www.linkedin.com/company/bitrue/
Bitonic,1.0,2.0,2012.0,2012.0,https://bitonic.nl/en/over-ons,https://bitonic.nl/en/over-ons
Bitmex,1.0,2.0,2014.0,2014.0,https://news.bitcoin.com/bitmex-co-founder-is-the-youngest-british-self-made-billionaire/,https://www.linkedin.com/company/bitmex/
Bitmart,1.0,2.0,2017.0,2017.0,https://www.linkedin.com/company/bitmart/,https://www.linkedin.com/company/bitmart/
Bitmarket,1.0,2.0,2014.0,2014.0,https://www.bitmarket.net/docs.php?file=about.html,https://www.bitmarket.net/docs.php?file=about.html
Bitkub,1.0,2.0,2018.0,2018.0,https://www.crunchbase.com/organization/bitkub-com,https://www.linkedin.com/company/bitkub/
Bitinka,1.0,2.0,2013.0,2013.0,https://www.crunchbase.com/organization/bitinka#section-past-team,https://www.linkedin.com/company/bitinka
Bithumb,1.0,2.0,2013.0,2013.0,https://www.worldcryptoindex.com/bithumb/,https://www.worldcryptoindex.com/bithumb/
Bithesap,1.0,2.0,2017.0,2017.0,https://www.linkedin.com/company/bithesap/,https://www.linkedin.com/company/bithesap/
Bitfinex,1.0,2.0,2012.0,2012.0,https://www.bitfinex.com/about,https://www.linkedin.com/company/bitfinex/
Bitex-La,1.0,2.0,2014.0,2014.0,https://www.crunchbase.com/organization/bitex-la,https://bitcoinmagazine.com/articles/bitex-la-opens-bitcoin-branches-argentina-chile-1430515095/
Bitcointrade,1.0,2.0,2017.0,2017.0,https://www.linkedin.com/company/bitcointrade/,https://www.linkedin.com/company/bitcointrade/
Bitcointoyou,1.0,2.0,2010.0,2010.0,https://coinpedia.org/exchange/bitcointoyou/,https://www.linkedin.com/company/bitcointoyou/
Bitbns,1.0,2.0,2017.0,2017.0,https://www.linkedin.com/company/bitbnsinc/,https://bitbns.com/about-us/
Bitbank,1.0,2.0,2014.0,2014.0,https://bitbank.cc/about/corporate/,https://bitbank.cc/about/corporate/
Bit-Z,1.0,2.0,2016.0,2016.0,https://medium.com/@Bit_z.com/bit-z-ecology-406636d0293d,https://www.bit-z.com/safety
Binance,1.0,2.0,2017.0,2017.0,https://en.wikipedia.org/wiki/Binance,https://www.crunchbase.com/organization/binance#section-overview
Bigone,1.0,2.0,2017.0,2017.0,https://www.bestbitcoinexchange.io/exchanges/bigone-crypto-exchanges/,https://bigone.zendesk.com/hc/en-us/articles/115002950193-BigONE-will-formally-launch-on-November-1-2017
Bgogo,1.0,2.0,2017.0,2017.0,https://www.linkedin.com/company/bgogo-crypto-exchange/,https://crushcrypto.com/bgogo-ico-review/
Barterdex,1.0,2.0,2014.0,2014.0,https://www.linkedin.com/company/komodo-platform/,https://www.linkedin.com/company/komodo-platform/
Bancor-Network,1.0,2.0,2016.0,2016.0,https://www.linkedin.com/company/bancor-foundation/,https://www.linkedin.com/company/bancor-foundation/
Allbit,1.0,2.0,2018.0,2018.0,https://www.coingecko.com/en/exchanges/allbit,https://www.cryptowisser.com/exchange/allbit/
Aidos-Market,1.0,2.0,2017.0,2017.0,https://www.coinspeaker.com/crypto-transparency-aidos-adk-in-first-of-its-kind-free-share-offer-to-exchanges/,https://www.coinspeaker.com/crypto-transparency-aidos-adk-in-first-of-its-kind-free-share-offer-to-exchanges/
Acx,1.0,2.0,2013.0,2013.0,https://support.acx.io/hc/en-us/articles/360006879713-Contact,https://acx.io/
Zbg,1.0,1.0,2018.0,2018.0,https://www.coingecko.com/en/exchanges/zbg,https://www.zbg.com/
Zaif,1.0,1.0,2014.0,2014.0,https://www.zdnet.com/article/zaif-cryptocurrency-exchange-loses-60-million-in-july-hack/,https://www.whois.com/whois/zaif.jp
Yunex,1.0,1.0,2018.0,2018.0,https://www.coingecko.com/en/exchanges/yunex,https://www.coingecko.com/en/coins/yunex-yun-token/historical_data/xag?end_date=2019-01-01&start_date=2018-01-01#panel
Wazirx,1.0,1.0,2018.0,2018.0,https://www.google.com/search?q=wazirx+founded&oq=wazirx+founded&aqs=chrome..69i57.9364j1j4&sourceid=chrome&ie=UTF-8,https://www.investfeed.com/article/76124/wazirx-bitcoin-exchange-india-wrx-nischal-shetty-crowdire-founder/
Waves-Dex,1.0,1.0,2016.0,2016.0,https://wavesplatform.com/company,https://www.coindesk.com/waves-crypto-exchange-bitcoin
Trade-Io,1.0,1.0,2017.0,2017.0,https://www.crunchbase.com/organization/trade-io,https://www.linkedin.com/company/trade-io/
Topbtc,1.0,1.0,2016.0,2016.0,https://en.bitcoinwiki.org/wiki/Exchange_TOPBTC.COM,https://en.bitcoinwiki.org/wiki/Exchange_TOPBTC.COM
Tokenomy,1.0,1.0,2018.0,2018.0,https://www.linkedin.com/company/tokenomy/,https://icorating.com/ico/tokenomy/
Token-Store,1.0,1.0,2017.0,2017.0,https://bitcoinist.com/icobox-token-store-launches-with-two-exclusive-ico-discounts/,https://bitcointalk.org/index.php?topic=2186186.0
Tidex,1.0,1.0,2017.0,2017.0,https://blockonomi.com/tidex-review/,https://www.fxempire.com/crypto/exchange/tidex/review
Switcheo,1.0,1.0,2017.0,2017.0,https://www.crunchbase.com/organization/switcheo-network,https://www.linkedin.com/company/switcheonetwork/
